epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2503.24,0.34207,0.42563,0.99651,0.58941,0.625,0.59138,0.52689,0.93318,1.61133,1.4417,0.000247716,0.000247716,0.000247716
88,2541.76,0.32276,0.39237,0.99545,0.7648,0.58333,0.61251,0.53006,0.97474,1.68114,1.51441,0.000231213,0.000231213,0.000231213
89,2582.04,0.31245,0.39401,0.98651,0.68672,0.61667,0.65351,0.52868,0.96585,1.69469,1.58509,0.00021471,0.00021471,0.00021471
90,2621.78,0.31379,0.38279,0.98002,0.58248,0.65135,0.60349,0.50074,1.04201,1.77247,1.67743,0.000198206,0.000198206,0.000198206
91,2738.13,0.3706,0.59869,1.03367,0.62686,0.66667,0.66235,0.49823,1.05111,1.86527,1.8051,0.000181703,0.000181703,0.000181703
92,2765.28,0.31896,0.30533,0.993,0.66549,0.625,0.63905,0.50968,1.00595,1.60409,1.66771,0.0001652,0.0001652,0.0001652
93,2792.53,0.30144,0.27713,0.9768,0.64759,0.66667,0.6329,0.52513,1.0027,1.35657,1.57408,0.000148696,0.000148696,0.000148696
94,2819.89,0.2923,0.26567,0.97479,0.73191,0.66667,0.65463,0.54475,1.00676,1.36556,1.55999,0.000132193,0.000132193,0.000132193
95,2846.23,0.29316,0.25062,0.97107,0.74189,0.66461,0.61073,0.52415,1.00913,1.44796,1.5213,0.00011569,0.00011569,0.00011569
96,2871.85,0.27594,0.24898,0.95138,0.7257,0.66559,0.59946,0.52234,1.11921,1.65552,1.59248,9.91865e-05,9.91865e-05,9.91865e-05
97,2897.9,0.26405,0.23164,0.95121,0.7179,0.66667,0.60886,0.53213,0.95512,1.47938,1.47634,8.26832e-05,8.26832e-05,8.26832e-05
98,2923.57,0.26818,0.23373,0.958,0.7342,0.66667,0.62272,0.53409,0.9959,1.54166,1.53191,6.61799e-05,6.61799e-05,6.61799e-05
99,2949.21,0.25287,0.22584,0.94964,0.72858,0.66667,0.62135,0.53155,0.99927,1.51849,1.53567,4.96766e-05,4.96766e-05,4.96766e-05
100,2980.81,0.26145,0.24322,0.94963,0.72171,0.66667,0.62005,0.52305,1.00416,1.48617,1.55791,3.31733e-05,3.31733e-05,3.31733e-05
